protein	Training_1	Training_2	Training_3	Training_4	Training_5	Training_6	Training_7	Training_8	Training_9	Training_10	Training_11	Training_12	Training_13	Training_14	Training_15	Training_16	Training_17	Training_18	Training_19	Training_20	Training_21	Training_22	Training_23	Training_24	Training_25	Training_26	Training_27	Training_28	Training_29	Training_30	Training_31	Training_32	Training_33	Training_34	Training_35	Training_36	Training_37	Training_38	Training_39	Training_40	Training_41	Training_42	Training_43	Training_44	Training_45	Training_46	Training_47	Training_48	Training_49	Training_50	Training_51	Training_52	Training_53	Training_54	Training_55	Training_56	Training_57	Training_58	Training_59	Training_60	Training_61	Training_62	Training_63	Training_64	Training_65	Training_66	Training_67	Training_68	Training_69	Training_70	Training_71	Training_72	Training_73	Training_74	Training_75	Training_76	Training_77	Training_78	Training_79	Training_80
KTN1	4.470988271	4.533960792	4.770404417	3.842640028	4.830289379	4.742828895	4.237333772	4.420116166	4.444197693	4.788874944	5.0638612	2.680009341	4.08325984	5.118073522	4.294986994	5.069760806	4.670575477	4.273719552	4.741279196	4.235617307	3.701688961	4.908319543	4.628713224	2.746511015	4.475950225	3.95495977	3.375177922	3.228192171	4.050983281	4.846324502	4.494983834	4.943823352	4.222161655	4.178670602	4.86749603	5.055981774	3.990301552	4.003749562	4.535465429	4.714505259	4.960859431	4.545899677	4.34577974	4.823642701	2.74736969	4.592194382	5.136989424	4.520254235	4.816330758	4.824448106	5.6246287	4.322563797	4.164199188	4.756908143	2.771921375	4.992065096	4.781280606	4.411353673	3.944876674	5.320097144	4.939883107	4.544491245	4.589959125	4.531190027	4.087761735	4.104342278	3.457295247	4.665055343	4.395640449	4.095805938	3.492950289	4.759441007	4.621694293	4.799558292	4.842033446	4.599724234	2.673353356	3.587035648	4.183762496	4.146404146
KYAT3	1.012944588	NA	NA	NA	NA	1.426508924	1.015580429	NA	1.642530585	NA	0.999391401	NA	1.084508688	NA	0.999391401	1.954033267	2.219557822	NA	1.60589544	NA	NA	1.455612926	NA	2.708847614	NA	NA	NA	1.077322978	NA	1.317022556	1.740221881	1.338078276	NA	NA	1.453888237	1.417770195	NA	NA	1.003501659	1.932999716	1.000587299	2.103169937	NA	2.067599517	NA	1.993328668	1.221301589	1.84898211	1.915852582	NA	1.886899277	NA	1.119845901	NA	2.315610284	NA	1.010359208	NA	NA	1.000587299	NA	1.335883045	1.534765018	1.017943552	NA	1.010359208	2.118900368	NA	1.091507193	NA	NA	NA	NA	1.024840338	NA	NA	1.212224567	NA	2.464239257	1.017043128
L1CAM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.698166041	NA	NA	NA	NA	NA	1.471201022	NA	2.104217567	NA	NA	NA	1.526786977	NA	2.967734994	2.140129787	NA	NA	NA	1.471201022	NA	NA	NA	NA	2.354760083	NA	NA	NA	NA	NA	NA	1.499374652	NA	NA	NA	NA	2.392810109	NA	NA	1.549827006	NA	3.236027451	NA	2.332431739	NA	2.602296163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.315286025	NA	NA	3.290484999	NA	1.499374652	NA	NA	NA	NA	NA	NA
L2HGDH	2.659313124	1.589191916	1.991519142	1.067147428	1.887292261	1.037955284	NA	1.632539237	1.197779835	2.355495867	0.969732181	NA	1.842481338	1.787872215	1.827179186	2.918629665	1.936913051	1.092608518	0.984853836	2.226296071	NA	1.037955284	NA	NA	1.040191988	2.077211823	1.025640997	2.218645097	NA	3.245239391	1.747321155	1.747321155	1.037955284	3.120556287	1.444808979	1.813706694	1.136865963	1.049726974	1.50005883	2.19582004	2.109357357	2.132650019	NA	1.65985514	NA	1.578898742	0.969732181	1.037955284	1.893668283	2.270343422	3.136053321	1.040191988	1.09479877	2.709723809	NA	2.444789298	1.506401217	NA	1.890542639	1.037955284	2.185172694	1.320721919	1.953000246	NA	2.265753051	1.511736748	NA	2.510475333	1.065309082	2.080892357	NA	1.604314963	1.75702704	2.74286575	1.886401847	1.704180482	1.191179923	2.373460571	1.433335423	2.517272329
LACTB	1.674435065	2.034472686	1.327371459	2.26022848	NA	1.866928997	2.591823807	2.253120565	1.414574451	1.759839358	1.8347815	1.425419689	1.272108031	1.095008155	3.025538059	2.872306214	2.669979023	NA	3.109209497	2.729327732	2.101753775	1.599518051	2.747572923	NA	1.253733485	1.855490059	1.238712816	1.552197351	2.843571511	1.518245036	1.238712816	1.955923946	1.240812969	1.20908441	2.080249428	2.115901738	1.634195947	1.647873105	2.409505008	1.960753762	1.540911487	1.20811364	1.53532511	2.138080444	1.611549063	1.196440903	1.417494811	1.182354231	2.189993432	1.257460391	2.323928144	1.968701883	1.309835575	1.623349882	2.093774867	1.608741279	2.495052234	NA	2.093482371	1.827040181	1.422807421	1.538009266	0.788106634	2.416914184	1.249995345	1.726883387	1.434368428	1.834130579	1.279589824	1.215834669	1.407995724	1.204234967	2.4869879	3.332808227	2.348267645	1.437725557	1.407900757	3.334876726	2.062625999	1.360393437
LACTB2	1.936840584	1.354578774	2.367254123	1.984477348	1.28743456	2.776479045	2.106753054	1.711175378	2.841074192	3.273907744	1.396588963	NA	1.25071361	0.867710723	2.099612325	1.496588823	2.218020868	NA	1.858280387	3.08144946	2.027313665	2.658256392	NA	1.83116313	2.02507964	NA	1.214060453	2.416305513	2.126615695	1.150586842	2.013084832	1.547505822	1.920815112	1.868297509	1.150586842	1.557366628	NA	2.856286259	2.588703279	0.8711242	2.635472104	NA	2.449170188	1.758276263	NA	NA	1.150586842	2.685038204	1.898272673	2.06282266	2.181327749	NA	NA	NA	2.168381443	1.150586842	2.621581884	2.173457439	NA	3.428856683	1.678642124	1.544946777	2.653420684	1.775593738	NA	1.755886987	NA	1.799499033	NA	2.372587179	NA	2.32864308	2.640249511	1.921144944	2.236088678	0.888064741	NA	2.295173621	1.15228257	1.728749453
LAD1	2.694100836	3.046864902	3.070967279	3.133598996	3.676749714	3.981313968	2.241169718	2.432539802	1.353230791	4.024432373	2.915796254	3.710751799	2.786345952	3.86043082	3.896295294	2.41643749	1.353230791	2.344853255	3.389399295	3.265402305	3.548473177	4.249356883	3.300734349	3.57793035	NA	2.080650891	4.666738162	2.213020052	3.38221758	4.125261792	3.573427277	3.868637738	4.062453536	4.434059785	3.596884853	2.882281105	2.629820568	2.276162075	3.87511545	2.836981729	4.133199186	2.101102852	3.722743773	3.195541024	0.694941128	3.861749749	4.81943168	4.512587519	2.551926151	NA	4.376017853	2.681479009	NA	3.828728058	2.332756217	4.726755148	3.696039169	3.445261558	NA	3.989666132	4.077020378	3.323737031	3.819628104	3.774917873	2.705508791	NA	NA	3.491374424	NA	2.52292796	2.506606915	3.366379674	3.015690486	4.394671136	3.60989153	3.922310331	3.916750811	2.481829716	NA	3.435487187
LAGE3	NA	NA	1.246792246	NA	NA	NA	1.245360908	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.130398517	NA	NA	NA	NA	NA	1.242780611	NA	1.712477261	NA	0.815211328	NA	NA	NA	NA	NA	1.230666924	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.801100879	NA	1.615093858	NA	NA	NA	NA	1.230666924	NA	NA	NA	NA	1.860395396	NA	NA
LAMA3	3.224449727	1.663012864	1.067109011	1.082010107	NA	1.495457506	NA	1.711557236	1.867217634	3.421292053	1.561683157	NA	NA	3.210034778	3.530989456	2.155635664	3.551502705	2.241886491	2.306180475	1.054177614	NA	3.722663228	2.92545822	NA	3.445350891	0.981042663	NA	NA	NA	4.131961762	1.011953733	2.249912358	NA	2.861667267	3.526403616	1.049845049	NA	1.062809544	NA	1.054177614	1.472864746	1.599431972	1.11369268	1.075675203	1.146211493	3.515660771	3.219806563	NA	1.567334598	1.028808011	2.950457409	1.025454919	1.82075389	NA	1.80792944	2.048075895	3.257211988	2.248161609	2.585224641	1.480002014	2.993057999	2.008498492	3.845564873	2.809278511	5.398878284	2.200187513	NA	1.472889398	NA	0.991429967	NA	1.944465194	NA	4.077562074	5.180856974	1.791838279	NA	1.075675203	1.778119368	3.135480364
LAMA4	4.70039666	3.842827393	4.056457772	4.756925378	4.47994037	3.508281565	4.47428077	3.730234836	4.885536904	5.580297997	5.258988758	1.89887969	5.06605076	4.625391223	3.819755908	4.858455524	5.043459216	5.019813153	4.682958879	3.966596481	4.206320745	3.843633779	5.646993492	1.984330495	4.891262968	5.122006634	4.352732412	4.055647286	3.477202411	4.60590766	NA	3.474116034	4.151600225	4.344557901	5.283519148	4.204166846	3.740531749	4.608230375	2.938494556	3.837556146	4.850409103	3.528097911	4.289716163	4.573406598	6.07548275	3.788923206	5.009447163	3.749692785	3.890741563	5.575782008	4.182649306	4.99284376	4.239136461	4.960101509	4.861777598	4.522691481	4.895893094	2.136257037	4.494638145	3.385734577	4.135249222	5.009652767	3.963951203	4.400347812	4.253289344	3.715308366	3.406845879	4.326536122	5.265354065	3.443182218	4.628885195	5.154315039	1.991454025	2.709783276	3.81662846	3.885325393	2.717083269	4.553776569	4.810586235	3.99292095
LAMA5	5.473334226	2.897445564	3.562037701	6.535393029	4.953102533	4.310902439	4.755923732	4.862608487	4.949297044	5.026053183	5.808061319	2.935719725	4.87372119	4.593612551	4.106674254	2.379260788	5.545015577	5.756331826	4.89674833	4.211247294	5.482893658	3.234992249	5.441335785	1.315833585	5.752880612	5.602526601	5.152363794	NA	NA	6.460522407	1.95453807	3.415169025	3.061169938	5.96712993	6.275467184	4.321409845	3.974303866	5.699141097	1.794202297	3.675017654	3.818295426	4.298836703	2.588831768	4.926971752	6.703145241	3.348027779	5.961344307	4.391400075	4.384941313	6.485086728	0.874893609	5.518121656	1.634276944	4.563604402	3.973033483	4.164229926	3.361280457	2.05874956	4.074679721	1.261418276	3.199572074	5.413368141	4.457880442	4.768296862	2.540057057	4.197824822	1.855832392	3.97561688	5.603347295	2.136338415	4.682134824	6.007517358	2.386590078	2.844660925	4.716499788	3.258327012	1.77894175	1.288873336	5.544212015	4.460779161
LAMB1	5.491625917	4.360867215	4.326822288	4.792293421	4.46914958	4.230468869	4.805469166	3.819892133	5.066094455	4.921436701	5.386324712	3.001258081	4.290866942	4.850520117	4.319473248	5.314069244	5.080990138	5.100526728	4.402252245	4.133942876	4.420686111	4.39589344	5.161221993	3.277122251	4.507400304	5.212390681	5.381128552	4.158626041	4.392854971	4.417483997	2.653562858	4.29113006	4.765177116	5.106170819	5.587576606	4.528994997	4.096358497	4.685746077	2.927116351	4.173085008	4.847356557	4.2195789	4.874529958	4.43484236	5.750615197	4.490768191	5.49634603	4.14509713	4.121895806	5.39553906	4.154799856	4.129781669	4.559824657	5.056249982	4.572424642	5.179546488	4.476592984	3.267183628	4.560319689	3.721360142	4.316640238	4.710264383	4.611634494	4.351709647	4.389038565	3.925702087	3.947630834	4.871758649	5.232297095	3.583641818	4.740622727	4.926240088	2.985318612	3.869428776	4.051267986	3.626468609	3.724966598	4.741143938	4.290971487	4.473361643
LAMB2	5.225080316	2.930665852	3.322985564	6.48913556	5.17588237	2.968867625	5.260699891	5.027665238	5.38211521	5.700425976	5.423576772	3.822352439	5.157994316	4.971845163	1.860645532	3.204258817	5.360752244	5.796049576	4.903978968	4.486046339	6.080739006	4.407182562	5.486310709	3.073398334	5.693445538	5.338796077	4.912740408	1.337201081	2.000534215	6.14642651	0.869939364	3.473679649	NA	2.545463262	6.070787268	4.610088172	4.334661439	5.515764328	1.795664948	4.321855346	1.250136091	3.667710903	1.319270151	5.01948226	6.965180653	2.33016342	5.384912061	3.319619054	4.935298408	6.232633195	1.411807363	5.170279087	3.11434563	4.324244177	4.653647821	2.996006819	4.550637632	1.624652755	5.013012527	NA	2.827899857	5.550063574	4.08127448	5.430717405	2.519766659	3.706632906	NA	4.506933368	5.819927347	1.789006981	4.86914984	6.213885375	2.694192695	0.844808448	4.417989077	2.811354665	2.267980931	NA	5.004094182	2.954507341
LAMB3	2.293899553	1.553889007	0.956195005	0.970829918	1.150030322	NA	NA	NA	2.453057935	3.111672699	1.036009078	3.162015916	1.119452409	2.827996991	2.93671038	2.808725385	3.48688123	NA	2.374842387	NA	NA	4.283263055	1.724310766	NA	2.952158433	1.057452565	1.088919584	NA	1.142917855	4.149575691	2.550162066	2.906705295	NA	2.207068947	2.684307803	NA	NA	0.951976002	NA	NA	NA	1.060989675	NA	NA	NA	3.141674444	3.265192126	NA	NA	2.227288517	2.270993535	1.766955165	1.154008904	1.443580155	2.306741682	3.099274538	2.541143674	3.313827046	3.136979054	1.793435939	3.102033655	1.754917642	2.962132132	2.089458093	4.659708494	1.04677854	NA	1.360797324	1.126300098	1.667511564	1.244221264	2.019716217	NA	NA	3.569434759	1.685701011	1.24413378	0.964605782	2.44886549	1.599894767
LAMC1	5.902554995	4.94408106	4.752406261	6.065693551	5.856386862	4.979929211	5.697049586	5.395932134	5.94828024	6.147470054	6.414997195	4.909679961	5.350632251	5.66532028	5.239337157	5.147747054	5.941389939	6.430217733	5.571770634	5.082961723	5.885289876	4.792401001	5.742890336	3.609281125	5.89199795	6.31056507	5.93763614	4.704359988	4.478733361	6.290613219	3.711428478	4.515925454	5.144607028	5.540674565	6.611071489	5.47781117	5.233747468	5.419165638	3.790527436	5.092059937	5.547445378	4.91850369	4.863611652	5.225913324	6.850047159	4.943037992	6.282695895	5.195241641	5.141714179	6.526692487	5.142069406	5.654328139	5.124839865	5.599645873	5.505238308	5.272504783	5.578994367	3.977777178	5.744556697	4.389122508	5.155237709	5.953463057	5.615602294	5.169067857	5.050745895	5.595084639	3.656060547	5.352061682	6.423254815	3.692384828	5.258141288	6.185089186	3.400745216	4.317944079	5.096957071	4.962338111	4.351090473	4.937505562	5.615337366	5.372924917
LAMC2	1.521342729	NA	0.969882448	NA	NA	NA	NA	0.97827496	1.943183385	2.094486958	1.030911052	NA	1.114641376	2.405295635	2.129982026	1.030911052	2.216240847	1.147265336	2.039842453	NA	NA	3.383025529	2.780514231	1.003230782	2.501429559	NA	1.734953236	NA	NA	3.901588144	1.75333903	1.362742011	0.952985003	2.21077003	2.188296092	NA	NA	NA	NA	0.957223499	2.159935713	NA	NA	NA	NA	1.599024775	3.03833246	0.952985003	0.958974466	NA	1.667481554	1.765450135	NA	NA	1.884283289	1.805007527	2.268691861	2.320143606	1.884004796	NA	1.972615608	2.352560719	2.956718928	1.646989373	4.378555898	1.041715055	1.264331785	NA	1.121514511	1.063039852	1.239914422	1.622364765	0.952985003	NA	1.903236575	0.97827496	NA	NA	1.464925635	0.969882448
LAMP1	2.017976214	2.56413751	3.415152188	2.875388931	2.502012241	2.555423904	2.222662293	2.050915943	2.126144297	3.324691529	2.108075585	2.744075458	3.161773471	2.328194777	2.984340932	3.016296259	3.492167943	2.8186531	3.066963791	3.13002706	3.15085546	3.530613414	2.982028775	2.463406311	3.823662541	3.041977046	3.214520353	3.727370177	3.492400275	2.438417107	2.751931132	2.515245235	1.998715927	2.874919423	2.889233568	2.696431043	2.151183315	2.462628037	3.114455288	2.670384633	2.862673361	3.142821078	3.090077025	3.657095608	2.898246218	2.506929438	2.376209886	3.118905488	2.217090902	3.395329413	2.076559364	2.392999	2.544246994	2.825088931	3.388211969	2.581379663	3.188617993	2.069682198	3.540681259	2.768671967	3.499660928	2.800446351	3.650980718	2.669226247	1.940125264	3.498887961	2.824677198	2.538996515	2.010965961	3.104239612	2.228231781	2.552697585	2.868464966	2.855473447	2.378918452	2.198730536	1.389945599	3.231192402	3.274012584	2.342719864
LAMP2	2.444935999	2.938446426	2.484006697	2.467833669	2.878496081	2.504435727	2.817850998	2.6219443	2.460458227	2.73303411	2.166210505	NA	2.082036466	3.012810675	2.809730607	2.19995479	2.663328769	2.136245241	3.267832183	2.750008343	3.1933739	2.640342923	1.96550587	2.114401395	2.963524342	2.844882864	2.419767229	3.594959795	2.824732668	1.963438583	2.775040805	1.257901732	1.524068357	2.658832719	1.717830293	2.472020002	2.784402751	2.123998441	2.597030395	1.853083494	2.374080928	2.919858683	3.498924311	2.349271137	2.007747553	1.842215259	1.257901732	2.125872814	2.80119165	3.001091283	2.136245241	1.328544175	2.1380292	2.411617418	2.853708518	1.668189286	2.766334932	1.38131843	3.337522791	2.195878109	1.839848077	2.820726225	2.624352568	2.63546951	2.006282855	3.320143081	2.843536539	2.026033677	2.073814386	3.106412367	1.476816857	2.258453271	2.464579409	2.87252075	2.078017313	2.42678389	2.761403885	3.092546997	2.096276645	1.18237387
LAMTOR1	2.009949781	1.02945144	2.414132468	2.100906035	2.261421743	2.69249021	2.32842163	2.616301443	2.793844106	2.258320645	2.16055905	1.208479996	3.302668766	2.148311664	2.9014043	2.40244344	2.390978076	1.845802235	3.216711196	3.460156374	1.140999033	1.929821036	2.120296095	3.79050791	1.051998167	2.004817691	2.969212244	1.878972075	2.560622767	2.198896854	2.169128247	2.870857863	2.825496434	2.837923696	2.402506271	2.474248201	2.845884049	2.292344425	2.278387337	2.312451417	1.86681656	2.055340606	1.860795618	2.497271437	NA	2.266261433	2.347165598	2.251484938	2.301125626	2.180774513	2.556399438	2.741174802	2.631865035	2.378983938	2.591184823	2.339626931	2.943287835	2.272708822	2.60725488	2.45288709	1.738923195	2.556399438	2.426812394	1.707718743	1.714029061	1.884397764	1.216693103	2.179350761	1.782346933	2.349548839	2.478157383	1.572863067	3.018738767	2.611043179	2.515662059	1.755149797	2.493936933	3.559517458	2.630950744	2.091853184
LAMTOR2	1.997278036	2.034097958	2.266099743	2.245734931	2.557759323	2.489564355	1.979193766	2.239079402	1.849264348	2.325372763	1.82739609	2.313786979	1.246445918	2.281709319	1.621778842	1.15277786	2.907672185	NA	NA	2.487677832	1.684917829	2.406651738	2.405873184	2.177310776	1.227595664	1.84887896	2.42406703	1.57942374	2.517349074	1.15277786	NA	2.298774491	1.282734057	1.252298823	2.708951264	2.287447756	1.65706424	2.590806473	2.176021348	2.767055433	2.585076413	2.691738157	3.404351486	2.365888879	1.635637766	2.562956157	2.12410494	3.004238844	2.559399149	NA	2.108347899	2.44255665	1.285180766	2.683786432	2.096408151	1.15277786	1.164877432	1.283804473	2.09610398	2.436317783	1.95400518	2.604901075	2.350986021	2.392343858	NA	2.809816563	NA	2.287979835	2.039130689	2.652272373	2.268488989	1.17686677	1.523062088	1.180839076	1.652045899	1.470729462	2.268803975	2.393526596	2.424816385	2.067097183
LAMTOR3	2.043708436	1.687553187	2.108613417	1.136750679	1.786926762	1.530018019	1.681900232	2.599069531	1.553837601	1.753224841	1.533105318	NA	1.74394425	1.895822848	2.050327362	1.59422534	2.142076894	1.029290957	1.954696584	2.032963499	2.998217704	1.558621285	2.091431249	NA	1.66334664	1.553471943	0.965927024	1.183134214	2.558732033	1.618351339	1.652762516	1.652762516	1.606857575	1.105786647	2.112329576	1.52142165	1.210628802	NA	1.593887653	1.109961302	1.105786647	1.572444962	1.167187423	1.130657502	1.198365937	1.910422658	1.817077094	NA	1.111685135	2.155442628	1.300727098	2.12743717	1.803771145	1.327442712	1.790339012	1.313396624	1.837904601	1.030125516	1.020181824	1.515443697	1.381489804	1.245712683	1.636214131	2.172333449	0.976260653	1.427614414	1.147560495	1.50873391	2.179177145	1.972944027	1.122789121	1.515988815	1.42296615	0.937993082	1.998859166	2.202227978	1.122700076	1.771443337	1.35288072	2.425451443
LAMTOR5	1.008715071	1.013032505	1.013032505	NA	NA	0.99570217	1.612442762	2.072763864	NA	NA	1.203958885	NA	1.08385135	0.99570217	1.416981438	1.001488077	1.001488077	1.115970257	1.015629915	1.534372426	NA	0.99570217	NA	NA	1.067251032	NA	1.053696737	NA	NA	NA	1.053696737	NA	NA	0.99570217	NA	0.99570217	1.105543552	1.008715071	2.285893205	NA	1.864976227	1.026129825	NA	1.0216373	NA	NA	NA	NA	NA	NA	NA	NA	1.118002521	1.001488077	NA	1.001488077	1.496100386	NA	NA	0.99570217	0.99570217	1.001488077	NA	1.013981113	1.063876473	1.500962768	NA	0.99570217	NA	NA	NA	NA	0.99570217	1.026129825	1.004387564	NA	NA	1.710558076	1.00288276	NA
LANCL1	2.307537761	2.002605899	2.035304674	3.185102537	2.648599572	1.406356528	1.569370358	2.580095951	2.636546628	3.1061883	2.973854162	NA	2.644419781	2.416062955	2.116793482	2.620288269	2.977026856	1.882320711	1.034995014	0.96722367	1.952177614	2.980473162	1.709960544	NA	1.750772149	2.367282131	2.49848148	1.042210432	3.062514077	3.095560924	1.073509574	2.056884563	1.959780705	2.221813966	2.87561686	2.435418689	2.445602688	2.765652166	2.236212284	2.534256465	1.818968838	1.664044062	NA	2.08391488	2.743461957	1.034995014	2.716542251	3.023819524	2.25932084	3.176298614	2.588196349	3.326735213	1.138540377	2.163804728	1.871404359	1.792262507	1.520198192	1.137312698	1.871126305	1.390813145	1.248872269	2.588196349	2.966381216	2.105643858	1.083806672	2.751809286	1.25306918	1.817571764	2.829901589	1.652945569	2.510634444	3.354388196	0.962968211	1.663502052	2.217436739	2.138697555	NA	1.666270792	2.172883494	1.621109116
LANCL2	1.957147547	1.015610428	1.015610428	1.029864893	1.116582248	1.84057878	NA	NA	1.000459327	1.152392021	1.000459327	NA	NA	1.349000332	1.000459327	1.681682589	1.253551243	NA	1.015031579	NA	NA	1.455923979	NA	NA	NA	1.022256524	1.054278476	1.076098871	NA	1.705431354	1.739271705	1.000459327	0.999099881	0.999099881	1.000459327	2.130925229	NA	1.011498167	1.002023859	1.511210814	1.404942869	1.02585391	1.814000163	NA	1.091318983	1.991570285	1.221848716	0.999099881	NA	NA	1.000459327	1.751743195	NA	1.837860079	1.111936728	1.403647967	1.011403902	2.324536118	NA	1.814000163	1.976150691	NA	1.98290164	1.016513874	2.225735338	NA	NA	1.818451987	1.820180334	NA	NA	1.604531924	NA	NA	NA	NA	NA	NA	1.00189626	1.015610428
LAP3	3.670233541	4.402180252	4.282814918	4.925373126	3.79769925	4.974860497	5.773498367	5.68719789	3.834529452	3.862732565	3.65380537	4.531373682	4.487712695	3.765951144	5.411751125	4.19794308	4.100611464	2.841687337	5.503229877	5.436629377	3.978000376	4.291510269	3.926460598	3.508230151	4.707798053	5.245265523	4.035665557	3.863472097	4.713092215	4.127401158	3.428378958	4.736985612	4.537338989	3.738333394	4.142767763	4.844028488	3.091365078	4.466502334	3.669854214	3.692329464	4.215572745	3.968776714	1.56091336	4.644961821	2.346899371	5.429111903	3.511827082	4.787365814	4.425069979	5.581247636	3.890087324	3.859723211	4.471567678	3.566699137	4.52197165	3.598119071	5.513083235	4.98517534	3.799510867	4.767166844	5.026985345	5.281988499	5.278705813	3.218654092	3.264674428	4.97160491	3.891928	4.065626809	3.994477491	4.193877227	3.363711586	4.150751112	5.607950721	4.485588917	4.097334037	3.415543628	2.859931107	5.449919991	3.949820211	2.111713326
LARP1	2.74513141	2.40025274	3.062202902	2.372167262	1.99663267	1.295876347	2.878349009	2.365299124	3.168991894	3.160470351	2.34430711	3.056163042	1.953204582	3.291444872	1.93835966	3.542889145	2.044648965	1.21323147	3.036330383	2.621425933	2.218761381	2.734251077	1.141662239	1.615520543	1.160190648	NA	3.418440404	1.680918726	3.029174974	2.384663077	2.35333016	3.087496354	3.046656903	2.573303988	3.398316559	2.415198154	2.851252273	2.536043113	2.300194522	1.375826731	2.911652527	2.233382786	2.930040044	2.496052227	1.739558428	2.980616647	3.990562632	1.699792702	2.695171392	NA	3.189853155	NA	NA	2.97832805	2.450262832	3.863497725	2.048021048	NA	1.203512128	3.317028366	2.698970469	2.496557476	2.932027052	2.730283932	NA	1.100091702	1.338614313	3.045634222	2.389173554	2.823642667	1.312472514	2.786926111	3.570342438	2.545837439	2.937771145	2.757521187	3.776655433	3.401586258	2.601551395	3.812905268
LARP4	1.008288539	NA	1.012129258	NA	NA	1.774620428	NA	NA	1.004222246	1.004222246	1.004222246	NA	NA	0.996704885	NA	1.004222246	1.004222246	1.128726167	NA	1.000576407	1.112155547	NA	NA	1.042493718	NA	NA	1.060914178	1.068550146	1.118988741	NA	1.060914178	1.361363294	0.996704885	1.806655615	1.004222246	0.996704885	NA	1.008288539	0.999437296	NA	NA	1.030960664	NA	1.019780272	NA	1.019563009	1.004222246	NA	1.002175276	NA	1.693526714	NA	1.130942393	NA	NA	1.430689496	1.015743347	1.935951434	NA	0.996704885	0.996704885	NA	1.49381969	1.012972959	NA	NA	NA	0.996704885	NA	NA	NA	NA	0.996704885	NA	1.004437607	NA	NA	NA	NA	1.012129258
LARP4B	1.010271866	2.234011737	NA	1.027615437	1.127204311	3.108859645	1.545606	1.594749249	1.679659661	2.60701884	1.969710267	NA	1.094526347	2.478918074	1.456491725	2.540235746	1.970280163	1.129261192	2.993736487	2.196093526	NA	1.823219135	1.058230759	2.60057209	3.812816931	NA	2.608953386	NA	2.711478066	1.33792472	1.061957049	1.782337124	2.79128839	NA	1.481516042	2.309800314	1.097120304	1.869481605	2.374634803	2.396631777	2.957131297	2.16394738	2.479077587	1.622313459	NA	2.392680669	2.253463516	3.01051917	1.858698517	NA	2.706908133	NA	1.13146043	1.443445322	NA	1.838460391	1.973733964	1.929314121	NA	2.994798378	2.376889602	1.782337124	1.501783481	1.62463714	2.295466993	2.34800653	2.180486626	1.765673149	1.867663944	1.686936408	NA	1.028457949	0.998557667	2.485920124	2.11817521	NA	2.096848211	1.631685493	3.21729353	2.266772796
LARP7	1.049007876	1.732121964	1.053813486	1.070482636	NA	1.539575903	NA	NA	1.813692113	1.106521693	1.797401388	NA	NA	2.331475164	0.968423167	1.585059254	1.198204619	NA	0.981694326	1.039365283	NA	2.471065032	1.014168949	NA	1.030120379	1.916752221	NA	NA	1.067430039	1.864803102	NA	1.274912888	2.538264367	2.075247635	NA	2.704601172	NA	NA	1.617403516	NA	1.513692358	1.565692122	1.105993665	1.063393471	NA	1.864803102	1.782457189	2.046224483	1.622056081	NA	2.284708778	NA	NA	0.968423167	NA	0.968423167	1.431931637	1.762828073	1.067430039	2.001838093	2.195569675	2.42974195	1.047015998	NA	NA	1.436486432	NA	1.51372059	NA	2.237228889	1.161367898	1.885130325	NA	NA	1.65128861	2.771156768	1.161286719	1.063393471	1.369485117	NA
LARS	4.482317351	3.828120182	3.844764306	4.565944988	4.144221084	4.298573222	3.628699426	3.279079248	4.248534039	4.278286745	4.20480558	3.603840271	4.448876405	4.487206478	4.538201355	4.591516873	4.482428409	3.864586588	4.992921652	4.488998761	3.341952812	4.315653069	4.046605186	3.692972552	3.837547198	3.93675525	5.051609125	3.895542377	3.85286588	4.693856936	4.671476085	4.124063177	5.340195188	5.113487782	4.505312178	4.219186831	4.016766838	4.142087804	4.24485138	4.167940352	4.809468233	4.403808658	3.8276678	4.94492794	3.700732725	3.897710533	4.309904179	4.760616375	4.166386507	4.091740785	4.619996917	4.074834698	3.378802436	4.579075674	4.055780087	4.40203654	4.600221053	3.6938571	4.021262027	4.32322114	4.407633277	4.645080146	4.758531684	4.200938677	3.386799824	4.187198448	4.682389504	4.696611703	3.855386949	4.638761093	4.491790128	4.346111218	4.964026489	4.456336063	4.381616236	4.840380573	4.732639736	4.174118221	4.746442354	4.506312644
